"adr_company_id","name1","strno","name2","name3","street","city_code","country_id","lang_country_name","zip_code","post_box_no","post_box_code","vat_tin","cst_tin","name3","lang_property_name","master_property_id","payment_condition_id","lang_description","net_days","transit_days","email","telephone1","telephone2","email","account_no","bank_code","bank_name","bank_address","financial_account_no"
"1000","RUSHABH HARDWARE MART",,,,"MUMBAI",,"1","INDIA","MH",,,,,,"Supplier","2","1","30 DAYS AFTER RECEIPT OF MATERIAL ","30","0","rushabhhardware@gmail.com",,,"rushabhhardware@gmail.com","1226210094509","UTBI0SVN647","UNITED BANK OF OF INDIA ","MUMBAI","1361"
"1001","WEENER EMPIRE PLASTICS",,,,"SILVASSA",,"1","INDIA","GJ",,,,,,"Supplier","2",,NULL,NULL,"0",,,,,"540044000582","VYSA0005400","ING VYSYA BANK LIMITED","MIRA ROAD ( EAST )","1376"
"1003","R.B. ELECTRONICS",,,"SAMARVANI, SILVASSA - 396230","OPP. KIRTI BAR, ",,"1","INDIA","GJ",,,,,"SAMARVANI, SILVASSA - 396230","Supplier","2",,NULL,NULL,"0",,,,,"04720100007864","DCBL0000047","DEVELOPMENT CREDIT BANK","SILVASSA","1379"
"1004","MAMTA SALES AND SERVICES",,,"SILVASSA - 396230","KILWANI NAKA",,"1","INDIA","GJ",,,,,"SILVASSA - 396230","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1375"
"1005","G TECH LAB",,,,"GIDC CHAR RASTA VAPI",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0","gtech_lab@yahoo.in",,,"gtech_lab@yahoo.in","954775756","IDIB000V037","INDIAN BANK"," VAPI ","1372"
"1008","SAMIR SUPPLY PVT LTD.",,,"GOREGAON (EAST), MUMBAI 63","213, UDYOG  BHAVAN",,"1","INDIA","MH",,,,,"GOREGAON (EAST), MUMBAI 63","Supplier","2",,NULL,NULL,"0",,"26861060","61323400",,,NULL,NULL,NULL,"1378"
"1009","SUNDARAM STATIONARY MART",,,,"M.G.ROAD TOKARKHADA SILVASSA 396230",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1374"
"1010","AKAR ART AND ACRYSIGN",,,"NEAR CANARA, TOKARKHADA, SILVASSA - 396230","SHOP NO. 8, GOKUL COMPLEX,",,"1","INDIA","GJ",,,,,"NEAR CANARA, TOKARKHADA, SILVASSA - 396230","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1380"
"1011","HIRCO TOOLS",,,"SONAWALA CROSS ROAD NO. 2, GOREGAO - EAST, MUMBAI - 400 063","AMIN INDUSTRIAL ESTATE,",,"1","INDIA","MH",,,,,"SONAWALA CROSS ROAD NO. 2, GOREGAO - EAST, MUMBAI - 400 063","Supplier","2",,NULL,NULL,"0","hircotools@yahoo.com","02226858889","02226858891","hircotools@yahoo.com",,NULL,NULL,NULL,"1382"
"1013","TECHNOCRATS SECURITY SYSTEMS PVT LTD.",,,"POST KHERA, TEHSIL NALAGRAH, DIST. SOLAN (HIMACHAL PRADESH)","VILLAGE NIHLA KHERA, RAJPURA ROAD,",,"1","INDIA","MP",,,,,"POST KHERA, TEHSIL NALAGRAH, DIST. SOLAN (HIMACHAL PRADESH)","Supplier","2","1","30 DAYS AFTER RECEIPT OF MATERIAL ","30","0","rupali@technocrat.asia",,,"rupali@technocrat.asia","01458640000116","HDFC0000145","HDFC BANK LTD.","BORIVALI","1383"
"1014","DACHSER INDIA PRIVATE LIMITED ( TDS 2%)",,,"MAROL MAROSHI ROAD, ANDHERI (EAST), MUMBAI - 400059","AFL HOUSE, LOK BHARATI COMPLEX,",,"1","INDIA","MH",,"AACCA7791D",,,"MAROL MAROSHI ROAD, ANDHERI (EAST), MUMBAI - 400059","Supplier","2","6","45 DAYS CREDIT AFTER MATERIAL RECEIPT","45","0","nilesh.dhabalia@dachser.co.in","02242328200",,"nilesh.dhabalia@dachser.co.in","006195598001","HSBC0400002","HSBC BANK LTD","MUMBAI","1381"
"1016","J P CARGO SERVICE",,,"GALA NO 53/0, PLOT NO 26/A, PIPARIA, UDYOGNAGAR, SILVASSA, AMLI - SILVASSA - 396230",,,"1","INDIA",,,"ARHPP2704L",,,"GALA NO 53/0, PLOT NO 26/A, PIPARIA, UDYOGNAGAR, SILVASSA, AMLI - SILVASSA - 396230","Supplier","2",,NULL,NULL,"0","keshab.bhanja@3dpackaging.in",,,"keshab.bhanja@3dpackaging.in","132401601000028","CORP0001324","CORPORATION BANK","VAPI","1385"
"1017","EVEREST PARK",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0","keshab.bhanja@3dpackaging.in",,,"keshab.bhanja@3dpackaging.in","00742000002645","HDFC0000074","HDFC BANK LTD-SILVASSA","SILVASSA","1388"
"1018","KULWANT SINGH NARWAL",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1387"
"1019","MATESHWARI PLYWOOD AND HARDWARE",,,,"NEAR ROYAL PLAZA HOTEL, SILVASSA - 396230",,"1","INDIA","GJ",,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1391"
"1020","AQUA CHEM INDUSTRIES",,,"VAPI - 396195, DIST. VALSAD","SHED NO. L322/16/9. G.I.D.C, ",,"1","INDIA","GJ",,,,,"VAPI - 396195, DIST. VALSAD","Supplier","2",,NULL,NULL,"0",,"09825634312","09099019312",,,NULL,NULL,NULL,"1390"
"1021","MICRO TURN INDUSTRIES",,,"SATIVALI ROAD, NEAR WALIA PHATA, VASAI (EAST), THANE- 401208","F-26, MEGHDOOT INDUSTRIAL ESTATE, ",,"1","INDIA","401210",,"AFAPK3865L",,,"SATIVALI ROAD, NEAR WALIA PHATA, VASAI (EAST), THANE- 401208","Supplier","2","20","50% ADVANCE ALONG WITH PO and BALANCE AT THE TIME OF DELIVERY.","1","0","josekoyikkara@yahoo.com","932122053","9821222053","josekoyikkara@yahoo.com","2522","BACB0000018","BASSEIN CATHOLIC CO-OPERATIVE BANK LTD","GOKHIVARE, VASAI THANE","1393"
